    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  52  8  2 Ground  53  2  1  15118.69340187       -               2.76996657692764E-5 0.0000 : pP51B1g(53) : Excited v=1 52 50      B1u - Ground v=0 53 51 B1g
SymmetricTop Excited  52  9  2 Ground  53  3  1  15118.69340187       -               2.76996657692764E-5 0.0000 : pP51B2g(53) : Excited v=1 52 50      B2u - Ground v=0 53 51 B2g
SymmetricTop Excited  30 11 20 Ground  31  5 10  15118.6914936525     -               2.73371994680442E-5 0.0000 : pP2(31) : Excited v=1 30  1      E2u - Ground v=0 31  2 E2g
SymmetricTop Excited  32 10 18 Ground  33  4  9  15118.69298101       -               2.72070232608617E-5 0.0000 : pP7(33) : Excited v=1 32  6      E1u - Ground v=0 33  7 E1g
SymmetricTop Excited  51 10  2 Ground  52  4  1  15118.6943775        -               2.71179192283813E-5 0.0000 : pP49(52) : Excited v=1 51 48      E1u - Ground v=0 52 49 E1g
SymmetricTop Excited  53  6  1 Ground  54  0  1  15118.7204182125     -               3.4180327428289E-5  0.0000 : pP54A1g(54) : Excited v=1 53 53      A1u - Ground v=0 54 54 A1g
SymmetricTop Excited  53  7  1 Ground  54  1  1  15118.7204182125     -               3.4180327428289E-5  0.0000 : pP54A2g(54) : Excited v=1 53 53      A2u - Ground v=0 54 54 A2g
SymmetricTop Excited  52 11  1 Ground  53  5  1  15118.7207434225     -               3.31127599114508E-5 0.0000 : pP52(53) : Excited v=1 52 51      E2u - Ground v=0 53 52 E2g
SymmetricTop Excited  51 11  3 Ground  52  5  2  15118.7213938425     -               3.22358514337497E-5 0.0000 : pP50(52) : Excited v=1 51 49      E2u - Ground v=0 52 50 E2g
SymmetricTop Excited  50  6  2 Ground  51  0  1  15118.7223694725     -               3.15333808523875E-5 0.0000 : pP48A1g(51) : Excited v=1 50 47      A1u - Ground v=0 51 48 A1g
SymmetricTop Excited  50  7  2 Ground  51  1  1  15118.7223694725     -               3.15333808523875E-5 0.0000 : pP48A2g(51) : Excited v=1 50 47      A2u - Ground v=0 51 48 A2g
