    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  82 10 51 Ground  83  4 26  15118.219549088      -               1.55472457468817E-6 0.0000 : pP7(83) : Excited v=1 82  6      E1u - Ground v=0 83  7 E1g
SymmetricTop Excited  81  9 27 Ground  82  3 14  15118.20649564       -               1.54793395165401E-6 0.0000 : pP3B2g(82) : Excited v=1 81  2      B2u - Ground v=0 82  3 B2g
SymmetricTop Excited  81  8 27 Ground  82  2 14  15118.20649564       -               1.54793395165401E-6 0.0000 : pP3B1g(82) : Excited v=1 81  2      B1u - Ground v=0 82  3 B1g
SymmetricTop Excited  80 10 53 Ground  81  4 27  15118.193999028      -               1.54514874164261E-6 0.0000 : rP1(81) : Excited v=1 80  2      E1u - Ground v=0 81  1 E1g
SymmetricTop Excited  67 11 20 Ground  68  5 11  15118.196522783      -               1.53579724980431E-6 0.0000 : rP38(68) : Excited v=1 67 39      E2u - Ground v=0 68 38 E2g
SymmetricTop Excited  66  9  9 Ground  67  3  5  15118.212893572      -               1.52366086834662E-6 0.0000 : rP39B2g(67) : Excited v=1 66 40      B2u - Ground v=0 67 39 B2g
SymmetricTop Excited  66  8  9 Ground  67  2  5  15118.212893572      -               1.52366086834662E-6 0.0000 : rP39B1g(67) : Excited v=1 66 40      B1u - Ground v=0 67 39 B1g
SymmetricTop Excited  83 11 50 Ground  84  5 25  15118.223311519      -               1.52295409695757E-6 0.0000 : pP10(84) : Excited v=1 83  9      E2u - Ground v=0 84 10 E2g
SymmetricTop Excited  82  6 26 Ground  83  0 13  15118.209860331      -               1.51352474404805E-6 0.0000 : pP6A1g(83) : Excited v=1 82  5      A1u - Ground v=0 83  6 A1g
SymmetricTop Excited  82  7 26 Ground  83  1 13  15118.209860331      -               1.51352474404805E-6 0.0000 : pP6A2g(83) : Excited v=1 82  5      A2u - Ground v=0 83  6 A2g
SymmetricTop Excited  81 11 55 Ground  82  5 28  15118.196965979      -               1.50896527694088E-6 0.0000 : pP2(82) : Excited v=1 81  1      E2u - Ground v=0 82  2 E2g
SymmetricTop Excited  65 11 17 Ground  66  5  9  15118.229224587      -               1.4949806759799E-6  0.0000 : rP40(66) : Excited v=1 65 41      E2u - Ground v=0 66 40 E2g
SymmetricTop Excited  84 10 49 Ground  85  4 25  15118.227352368      -               1.49362305772333E-6 0.0000 : pP13(85) : Excited v=1 84 12      E1u - Ground v=0 85 13 E1g
SymmetricTop Excited  83  8 26 Ground  84  2 13  15118.21350344       -               1.48103005253345E-6 0.0000 : pP9B1g(84) : Excited v=1 83  8      B1u - Ground v=0 84  9 B1g
SymmetricTop Excited  83  9 26 Ground  84  3 13  15118.21350344       -               1.48103005253345E-6 0.0000 : pP9B2g(84) : Excited v=1 83  8      B2u - Ground v=0 84  9 B2g
SymmetricTop Excited  82 10 53 Ground  83  4 27  15118.200211348      -               1.4740343679563E-6  0.0000 : pP5(83) : Excited v=1 82  4      E1u - Ground v=0 83  5 E1g
SymmetricTop Excited  85 11 47 Ground  86  5 24  15118.231671635      -               1.46704223464587E-6 0.0000 : pP16(86) : Excited v=1 85 15      E2u - Ground v=0 86 16 E2g
SymmetricTop Excited  66 11 17 Ground  67  5  9  15118.205034419      -               1.45303040751582E-6 0.0000 : rP40(67) : Excited v=1 66 41      E2u - Ground v=0 67 40 E2g
SymmetricTop Excited  84  7 25 Ground  85  1 13  15118.217424967      -               1.45085641720551E-6 0.0000 : pP12A2g(85) : Excited v=1 84 11      A2u - Ground v=0 85 12 A2g
