Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
,,4.05396693901682,1.0022662144738397,24.723097882907556,88774166328.7072,22470941872.508144,25.31247862053044,-22.835405991641807,0.9505437636665378,4.162587536277897,"(3.0, 60000000000.0, -24.878415066932725)",,,
HD 149757,3,1.3003764987591266,0.045545430241356,3.50248026512455,331941837234.0901,4381297404.075361,1.3198991246727385,-14.38564512456696,0.0127318781833177,0.0885040474241572,"(3.0, 600000000000.0, -14.840636501803736)",168.05891186743528,0.982800654195528,
,,2.3014076259269984,0.0722002592663538,3.1372216921924814,113644310669.28276,1785883538.1095145,1.5714676146935578,-28.5801105692071,0.0369054192571426,0.12912972875936102,"(1.0, 90000000000.0, -28.62126482662086)",,,
,,5.794023835525456,0.1038779469019241,1.792846385356706,262455609534.656,5234538341.001471,1.994447118231731,-16.69615358147845,0.007430146795308,0.04450214691095372,"(3.0, 50000000000.0, -21.69615358142808)",,,
HD 157246,3,1.006740601542334,0.1647901202638696,16.368677294966545,161826174974.07053,8303113148.218864,5.130883894122366,-2.925147609006112,0.0608880687406968,2.08153833171465,"(5.0, 500000000000.0, -1.7907182939181412)",228.4271129880849,0.9597777856642222,
,,3.5102689522310917,0.08398556187469,2.3925677210946934,278150747378.32733,5934921569.358511,2.133706856910262,-7.870666933833505,0.0730175254619971,0.9277171309094261,"(0.5, 120000000000.0, -8.498123052623615)",,,
,,2.1296245566840337,0.0881427204699844,4.138885429046162,243408167170.8302,7313814422.729081,3.0047530893226173,1.220471163393518,0.074237686950544,6.08270716893681,"(3.0, 30000000000.0, 0.9619304766431344)",,,
HD 184915,5,4.638082128124406,0.0474880585238883,1.0238727390343128,1423571439193.623,11351686733.759577,0.7974089969232384,-12.401795273772226,0.0250172808088489,0.20172305909416494,"(5.0, 1500000000000.0, -12.593081698367614)",3148.526814686562,12.494154026533975,
,,4.347742563068121,0.0797835127065113,1.8350560445835034,875693553969.9338,31660375911.818016,3.615462940007555,9.762743041921505,0.0944442409059297,0.9673945170981493,"(5.0, 1000000000000.0, 9.324867164602622)",,,
,,5.999999992259553,0.2746199938087,4.576999902716338,383183749804.1772,37902741399.15528,9.891531522024396,0.8709503124746094,0.354433480806497,40.69502883573852,"(4.0, 300000000000.0, 1.418968647380896)",,,
,,1.045966652265575,0.8957978661499872,85.64306177540932,46535394794.25454,14971009004.058657,32.171230243666145,-21.41560348653131,0.1968829467619528,0.9193434445392881,"(1.0, 40000000000.0, -22.1232654180358)",,,
,,5.0541510076418446,1.449016422157487,28.669828423539055,62651526168.31404,18414891678.45284,29.392566797145562,-26.686599485260565,1.335374977127228,5.0039158337306215,"(3.0, 40000000000.0, -27.27312911984245)",,,
HD 22951,3,3.99854566292775,0.117007999211745,2.926263923820525,865410632140.4404,63190219753.78583,7.301761430581916,12.896779101528155,0.0769983790687409,0.5970357285534748,"(5.0, 1200000000000.0, 11.961875642554508)",4516.789025962258,21.20558228151295,
,,5.999954939760313,0.3459408397618471,5.765723963514746,492136743339.2483,55624740458.53462,11.302700156283677,6.482697454625877,0.5233512294547767,8.073047263393844,"(5.0, 200000000000.0, 3.836759059955244)",,,
,,5.999999999995848,0.0042333988016658,0.07055664669447884,58990515112.96109,14745895969.831425,24.99706256437068,22.05104595739186,1.2764254979651717,5.7885031867946095,"(5.0, 30000000000.0, 25.100017025114607)",,,
HD 23016,2,0.7566062650321378,0.0390972711913112,5.167452742365343,279383557041.3456,4320268920.391353,1.5463576189460577,19.228468016845003,0.0131119042660231,0.06819006201917117,"(1.0, 300000000000.0, 19.118169637924293)",234.68419727350926,1.6763156948107805,
