nm	int
316.248	13.25068
316.25099	12.93587
316.25399	17.39936
316.25701	19.53335
316.26	14.39286
316.26299	12.71532
316.26601	5.83826
316.269	19.52571
316.27199	8.49648
316.27501	18.56852
316.278	10.61028
316.28099	7.26203
316.28401	11.76082
316.28701	20.41475
316.29	15.74142
316.29299	7.14146
316.29601	12.50103
316.299	11.24884
316.30199	16.76168
316.30501	14.74741
316.308	18.33617
316.31099	21.268
316.31401	20.87568
316.317	8.06124
316.31999	8.51584
316.32299	2.9324
316.32601	9.04454
316.329	17.54028
316.33199	15.66163
316.33501	16.71804
316.338	28.31113
316.34099	16.74461
316.34401	17.71137
316.347	24.53303
316.34999	25.51675
316.35301	23.71647
316.35601	33.45078
316.359	40.05888
316.36199	30.76105
316.36501	30.33638
316.368	36.70895
316.37099	46.96879
316.37401	35.65301
316.377	40.49757
316.37999	47.24697
316.38301	57.02389
316.386	40.03246
316.38899	43.27984
316.39199	45.71672
316.39501	60.2923
316.398	56.16786
316.40099	62.05063
316.40401	52.14146
316.407	62.09045
316.40999	59.27698
316.41301	76.84841
316.416	82.6417
316.41899	79.53673
316.42201	78.85986
316.42501	84.76928
316.428	87.41926
316.43099	88.36489
316.43401	98.63297
316.437	85.39922
316.43999	102.02722
316.44301	104.46174
316.446	101.70797
316.44899	95.54691
316.45201	86.4331
316.455	91.79603
316.458	79.46942
316.46099	71.52094
316.46401	68.07779
316.467	73.09812
316.46999	63.93981
316.47301	64.88489
316.476	62.36726
316.47899	47.772
316.48201	50.45622
316.485	61.93981
316.48799	52.38978
316.49102	51.5633
316.49401	56.90877
316.497	52.26224
316.49999	53.10496
316.50301	50.24383
316.506	46.66401
316.50899	32.27834
316.51201	31.16148
316.515	29.99297
316.51799	28.42309
316.52101	35.60939
316.524	28.20785
316.527	29.26949
316.52999	24.28574
316.53301	24.30254
316.536	21.47625
316.53899	24.89009
316.54201	16.44406
316.545	27.35538
316.54799	27.46667
316.55101	13.43134
316.554	29.08962
316.55699	30.7233
316.55998	28.76707
316.56301	25.81901
316.566	20.29412
316.56899	30.88019
316.57201	21.54964
316.575	25.86783
316.57799	30.07102
316.58101	38.84662
316.584	32.58015
316.58699	24.49141
316.59001	24.53867
316.593	27.15758
316.596	31.29356
316.59899	33.0545
316.60201	29.9762
316.605	33.40633
316.60799	42.15751
316.61101	30.64726
316.614	42.4737
316.61699	49.89009
316.62001	41.51223
316.623	57.87327
316.62599	52.877
316.62899	54.98003
316.63201	61.13324
316.635	58.58027
316.63799	58.52456
316.64101	55.95817
316.644	52.73363
316.64699	50.75134
316.65001	62.21724
316.653	77.15744
316.65599	77.62058
316.65901	72.49133
316.66201	88.79509
316.665	83.44879
316.66799	79.47261
316.67101	77.06198
316.674	82.38151
316.67699	84.87567
316.68001	76.06824
316.683	75.09206
