nm	int
310.234	17.25381
310.23549	-31.95433
310.23699	-25.08732
310.23851	3.68331
310.24001	16.56097
310.2415	49.41953
310.243	84.12856
310.24449	115.15765
310.24599	115.0171
310.24748	82.501
310.24901	67.55185
310.25051	48.07479
310.252	-10.79459
310.2535	-15.42223
310.25499	-18.19224
310.25649	-27.41568
310.25801	-41.42953
310.25951	2.64057
310.261	10.44562
310.2625	15.31415
310.26399	11.24895
310.26549	18.58848
310.26699	27.32343
310.26851	13.02982
310.27001	-30.51624
310.2715	-9.64322
310.273	-17.02703
310.27449	-73.55499
310.27599	-131.18669
310.27751	-103.06299
310.27901	-108.29406
310.2805	-118.13939
310.282	-64.95
310.2835	13.11394
310.28499	58.0111
310.28649	26.07154
310.28801	64.25564
310.28951	40.66354
310.291	3.83313
310.2925	-37.99951
310.29399	-46.14924
310.29549	-102.67406
310.29701	-107.5458
310.29851	-87.85621
310.30001	-73.08161
310.3015	-35.82221
310.303	-1.89259
310.30449	-1.04853
310.30599	-16.9671
310.30751	-37.41088
310.30901	-54.07662
310.3105	-67.68627
310.312	-73.4293
310.31349	-62.41472
310.31499	-48.81679
310.31649	-55.94736
310.31801	-64.49674
310.31951	-60.3592
310.321	-51.63887
310.3225	-68.18108
310.32399	-29.47633
310.32549	15.93577
310.32701	35.33804
310.32851	35.2995
310.33	50.60559
310.3315	1.3271
310.333	-39.30178
310.33449	-41.83245
310.33599	-55.06049
310.33751	-61.75281
310.33901	-47.99984
310.3405	-11.50593
310.342	-10.65556
310.34349	-5.15051
310.34499	21.11564
310.34651	70.19888
310.34801	60.9018
310.34951	69.44241
310.351	74.60382
310.3525	61.62191
310.35399	47.1315
310.35549	52.71298
310.35701	44.08717
310.35851	34.36084
310.36	41.89064
310.3615	18.17802
310.36299	0.07567
310.36449	-24.29915
310.36602	-5.25751
310.36751	-18.28008
310.36901	-17.59362
310.3705	0.55917
310.372	37.38078
310.37349	11.88832
310.37499	12.65872
310.37651	15.34673
310.37801	13.9704
310.3795	21.36329
310.381	18.29149
310.38249	27.13361
310.38399	39.91772
310.38549	25.87543
310.38701	24.42693
310.38851	51.2713
310.39	56.35194
310.3915	35.57701
310.39299	50.86575
310.39449	23.29396
310.39601	8.69051
310.39751	-11.79099
310.399	1.24298
310.4005	6.77113
310.402	26.42756
310.40349	55.10962
310.40499	78.47016
310.40651	53.80529
310.40801	48.05767
310.4095	58.33659
310.411	45.16274
310.41249	49.49567
310.41399	69.46314
310.41551	56.33822
310.41701	22.70232
310.41851	32.42834
310.42	28.22119
310.4215	16.97971
310.42299	26.46493
310.42449	53.0699
310.42601	51.63374
310.42751	45.70248
310.429	61.31534
310.4305	59.43514
310.43199	63.98749
310.43349	63.19398
310.43498	42.01486
310.43651	39.94395
310.43801	24.78271
310.4395	-12.7757
310.441	-30.8059
310.44249	-20.44489
310.44399	-28.70203
310.44551	-15.45016
310.44701	25.2863
310.4485	60.06684
310.45	80.74216
310.45149	122.95728
310.45299	127.8432
310.45449	119.98289
310.45601	63.03776
310.45751	35.35396
310.459	3.38439
310.4605	8.38784
310.46199	0.22321
310.46349	-4.0624
310.46501	26.70442
310.46651	35.25367
310.468	27.6686
310.4695	22.16028
310.471	61.64791
310.47249	55.34004
310.47399	23.62703
310.47551	34.10493
310.47701	28.56225
310.4785	7.40372
310.48	-9.68419
310.48149	-12.64653
310.48299	-38.65533
310.48451	-32.28952
310.48601	-34.90589
310.48751	10.23228
310.489	36.22379
310.4905	51.43969
310.49199	41.44361
310.49349	59.07745
310.49501	23.72753
310.49651	5.75251
310.498	-0.09756
310.4995	13.15973
310.50099	26.14705
310.50249	19.20793
310.50399	43.55327
310.50551	47.11126
310.50701	32.45246
310.5085	2.89619
310.51	2.41388
310.51149	-20.22037
310.51299	-8.03948
310.51451	14.59239
310.51601	-1.07311
310.5175	-17.06927
310.519	-4.50529
310.5205	-16.88989
310.52199	-68.05431
310.52349	-63.68514
310.52501	-46.84507
310.52651	-41.75773
310.528	-34.95121
310.5295	16.67791
310.53099	38.93418
310.53249	32.19691
310.53401	44.11623
310.53551	48.22906
310.53701	15.84916
310.5385	22.80054
310.54	43.36389
310.54149	39.56426
310.54299	23.31951
310.54451	65.64054
310.54601	40.91415
310.5475	1.00246
310.549	-2.57892
310.55049	-6.05579
310.55199	-20.9062
310.55352	1.11298
310.55501	53.4803
310.55651	40.15274
310.558	26.46686
310.5595	0.34861
310.56099	-20.17846
310.56249	-90.93135
310.56401	-94.47176
310.56551	-90.31957
310.567	-64.88302
310.5685	-39.02944
310.56999	-8.20584
310.57149	-13.32534
310.57299	-6.86315
310.57451	12.23971
310.57601	-16.95161
310.5775	-2.74025
310.579	0.96533
310.58049	-5.96512
310.58199	-22.93774
310.58351	0.36575
310.58501	10.35988
310.5865	32.44898
310.588	45.38598
310.5895	41.65823
310.59099	36.12972
310.59249	43.16053
310.59401	31.86219
310.59551	34.15556
310.597	52.56356
310.5985	47.17933
310.59999	1.2173
310.60149	-2.60583
310.60301	-16.88252
310.60451	-47.99145
310.60601	-51.59319
310.6075	-24.98993
310.609	-26.47651
310.61049	-14.45835
310.61199	-10.19555
310.61351	7.42343
310.61501	22.0983
310.6165	23.80864
310.618	34.78032
310.61949	26.7298
310.62099	3.23591
310.62248	-6.31349
310.62401	-20.27407
310.62551	-34.67201
310.627	-9.5283
310.6285	18.31916
310.62999	-4.06166
310.63149	18.62888
310.63301	27.3212
310.63451	19.26765
310.636	6.22164
310.6375	17.13008
310.63899	17.10713
310.64049	30.34806
310.64199	24.97497
310.64351	12.33934
310.64501	30.63477
310.6465	55.63393
310.648	39.93934
310.64949	68.33425
310.65099	127.35087
310.65251	156.96492
310.65401	175.92445
310.6555	236.50303
310.657	277.67109
310.6585	270.44066
310.65999	272.54951
310.66149	254.57994
310.66301	224.34483
310.66451	181.12863
310.666	162.12681
310.6675	147.81025
310.66899	152.62074
310.67049	116.85317
310.67201	127.15299
310.67351	119.6179
310.67501	123.46161
310.6765	112.17357
310.678	157.06316
310.67949	137.70031
310.68099	147.87595
310.68251	109.85211
310.68401	68.55852
310.6855	30.5821
310.687	23.81671
310.68849	29.56611
310.68999	33.33336
310.69149	71.09426
310.69301	101.72919
310.69451	94.19302
310.696	67.7957
310.6975	75.32416
310.69899	73.77263
310.70049	35.60727
310.70201	38.51048
310.70351	39.81596
310.705	35.60401
310.7065	-19.38936
310.708	1.39911
310.70949	3.2461
310.71099	2.19494
310.71251	7.8438
310.71401	44.24035
310.7155	32.18087
310.717	29.74937
310.71849	54.80326
310.71999	46.58677
310.72151	29.43503
310.72301	33.27435
310.72451	42.09057
310.726	-0.49342
310.7275	-7.36286
310.72899	-28.53397
310.73049	-25.40437
310.73201	-31.80037
310.73351	-19.49489
310.735	0.17917
310.7365	38.85118
310.73799	29.33518
310.73949	36.59296
310.74102	30.10757
310.74251	27.3529
310.74401	20.38509
310.7455	15.72822
310.747	1.84877
310.74849	3.42347
310.74999	0.03847
310.75151	-2.45739
310.75301	22.33486
310.7545	24.56141
310.756	40.04095
310.75749	53.67795
310.75899	66.53885
310.76049	64.58623
310.76201	68.66588
310.76351	51.29026
310.765	38.88278
310.7665	17.32173
310.76799	0.45932
310.76949	15.56768
310.77101	12.63105
310.77251	-2.42817
310.774	13.10334
310.7755	6.98058
310.777	-6.47553
310.77849	19.01668
310.77999	22.34267
310.78151	30.88051
310.78301	34.93701
310.7845	29.84432
310.786	25.09635
310.78749	45.98751
310.78899	31.91252
310.79051	34.57806
310.79201	35.65306
310.79351	34.80693
310.795	20.42649
310.7965	17.89472
310.79799	39.13026
310.79949	26.65097
310.80101	28.70038
310.80251	11.68765
310.804	5.7478
310.8055	-35.43616
310.80699	-38.7193
310.80849	-46.38394
310.80998	-46.84135
310.81151	-40.36474
310.81301	-28.80365
310.8145	-30.41506
310.816	-52.92695
310.81749	-30.70523
310.81899	-10.97597
310.82051	5.11656
310.82201	4.92746
310.8235	23.44962
310.825	6.29398
310.82649	-23.6933
310.82799	-31.42044
310.82949	1.80974
310.83101	-5.66672
310.83251	10.73715
310.834	23.01303
310.8355	5.54298
310.83699	0.43829
310.83849	13.22097
310.84001	10.57096
310.84151	27.28884
310.843	53.43675
310.8445	41.47174
310.846	5.2265
310.84749	3.29535
310.84899	-34.2106
310.85051	-41.09195
310.85201	-25.45517
310.8535	18.1518
310.855	18.07898
310.85649	46.89968
310.85799	23.81712
310.85951	-14.38024
310.86101	-37.66543
310.86251	-25.26396
310.864	-24.13357
310.8655	2.39009
310.86699	5.70952
310.86849	-8.39115
310.87001	-39.82617
310.87151	-67.49115
310.873	-64.95727
310.8745	-63.77033
310.87599	-47.18065
310.87749	-32.4573
310.87899	-27.12204
310.88051	-34.457
310.88201	-31.07335
310.8835	-29.72975
310.885	-33.49066
310.88649	-26.57547
310.88799	-41.88333
310.88951	-39.13821
310.89101	-40.82126
310.8925	-46.16008
310.894	-57.86386
310.8955	-64.56628
310.89699	-67.94967
310.89849	-77.29786
310.90001	-73.76436
310.90151	-67.51552
310.903	-44.65527
310.9045	-15.17112
310.90599	-0.38499
310.90749	6.02278
310.90901	-13.27501
310.91051	-15.69004
310.91201	-35.28925
310.9135	-38.95979
310.915	-29.21645
310.91649	11.83897
310.91799	14.50753
310.91951	1.19742
310.92101	7.51818
310.9225	11.23527
310.924	0.39633
310.92549	3.65161
310.92699	31.4752
310.92852	20.63829
310.93001	-3.08851
310.93151	40.18259
310.933	51.68622
310.9345	51.04323
310.93599	92.43287
310.93749	92.6528
310.93901	51.70158
310.94051	53.35295
310.942	51.8801
310.9435	33.04697
310.94499	46.17258
310.94649	32.91204
310.94799	4.69379
310.94951	-10.33374
310.95101	-37.33481
310.9525	-39.854
310.954	-34.59563
310.95549	-28.71599
310.95699	-23.40729
310.95851	-23.00842
