Filename                                                Object        Setting     Wave_min     Wave_max
HD149038/BLUE_346/HD149038_w346_n29_20150628_B.fits.gz  HD149038          346      3024.32      3884.34
HD149038/BLUE_437/HD149038_w437_n17_20160222_B.fits.gz  HD149038          437      3732.08      4999.70
HD149038/BLUE_437/HD149038_w437_n30_20150702_B.fits.gz  HD149038          437      3732.10      4999.76
HD149038/RED_564/HD149038_w564_n15_20160222_L.fits.gz   HD149038          564      4583.04      5644.22
HD149038/RED_564/HD149038_w564_n15_20160222_U.fits.gz   HD149038          564      5654.46      6686.50
HD149038/RED_564/HD149038_w564_n24_20150628_L.fits.gz   HD149038          564      4583.12      5644.28
HD149038/RED_564/HD149038_w564_n24_20150628_U.fits.gz   HD149038          564      5654.52      6686.54
HD149038/RED_860/HD149038_w860_n10_20160222_L.fits.gz   HD149038          860      6649.82      8544.26
HD149038/RED_860/HD149038_w860_n10_20160222_U.fits.gz   HD149038          860      8523.26     10426.30
HD149038/RED_860/HD149038_w860_n20_20150702_L.fits.gz   HD149038          860      6649.84      8544.28
HD149038/RED_860/HD149038_w860_n20_20150702_U.fits.gz   HD149038          860      8523.32     10426.02
HD149404/BLUE_346/HD149404_w346_n5_20170417_B.fits.gz   HD149404          346      3024.32      3884.30
HD149404/BLUE_346/HD149404_w346_n5_20170418_B.fits.gz   HD149404          346      3024.20      3884.26
HD149404/BLUE_346/HD149404_w346_n5_20170507_B.fits.gz   HD149404          346      3024.32      3884.30
HD149404/BLUE_437/HD149404_w437_n8_20170507_B.fits.gz   HD149404          437      3732.10      4999.72
HD149404/RED_564/HD149404_w564_n5_20170417_L.fits.gz    HD149404          564      4583.06      5644.22
HD149404/RED_564/HD149404_w564_n5_20170417_U.fits.gz    HD149404          564      5654.46      6686.46
HD149404/RED_564/HD149404_w564_n5_20170418_L.fits.gz    HD149404          564      4583.06      5644.24
HD149404/RED_564/HD149404_w564_n5_20170418_U.fits.gz    HD149404          564      5654.46      6686.48
HD149404/RED_564/HD149404_w564_n5_20170507_L.fits.gz    HD149404          564      4583.06      5644.22
HD149404/RED_564/HD149404_w564_n5_20170507_U.fits.gz    HD149404          564      5654.46      6686.46
HD149404/RED_860/HD149404_w860_n12_20170507_L.fits.gz   HD149404          860      6649.84      8544.24
HD149404/RED_860/HD149404_w860_n12_20170507_U.fits.gz   HD149404          860      8523.22     10426.12
HD149757/BLUE_346/HD149757_w346_n30_20150720_B.fits.gz  HD149757          346      3024.32      3884.34
HD149757/BLUE_437/HD149757_w437_n30_20150720_B.fits.gz  HD149757          437      3732.08      4999.78
HD149757/RED_564/HD149757_w564_n24_20150720_L.fits.gz   HD149757          564      4583.12      5644.30
HD149757/RED_564/HD149757_w564_n24_20150720_U.fits.gz   HD149757          564      5654.52      6686.52
HD149757/RED_860/HD149757_w860_n24_20150720_L.fits.gz   HD149757          860      6649.82      8544.28
HD149757/RED_860/HD149757_w860_n24_20150720_U.fits.gz   HD149757          860      8523.16     10426.64
HD150136/BLUE_346/HD150136_w346_n20_20150628_B.fits.gz  HD150136          346      3024.32      3884.34
HD150136/BLUE_437/HD150136_w437_n20_20150703_B.fits.gz  HD150136          437      3732.08      4999.78
HD150136/RED_564/HD150136_w564_n24_20150628_L.fits.gz   HD150136          564      4583.12      5644.28
HD150136/RED_564/HD150136_w564_n24_20150628_U.fits.gz   HD150136          564      5654.52      6686.54
HD150136/RED_860/HD150136_w860_n20_20150703_L.fits.gz   HD150136          860      6649.84      8544.28
HD150136/RED_860/HD150136_w860_n20_20150703_U.fits.gz   HD150136          860      8523.26     10426.92
HD151804/BLUE_346/HD151804_w346_n10_20160510_B.fits.gz  HD151804          346      3044.22      3916.66
HD151804/BLUE_346/HD151804_w346_n10_20170418_B.fits.gz  HD151804          346      3024.22      3884.26
HD151804/BLUE_346/HD151804_w346_n12_20160702_B.fits.gz  HD151804          346      3044.24      3916.66
HD151804/BLUE_346/HD151804_w346_n29_20150720_B.fits.gz  HD151804          346      3024.32      3884.34
HD151804/BLUE_346/HD151804_w346_n2_20160521_B.fits.gz   HD151804          346      3044.22      3916.68
HD151804/BLUE_437/HD151804_w437_n10_20170507_B.fits.gz  HD151804          437      3732.10      4999.72
HD151804/BLUE_437/HD151804_w437_n15_20160323_B.fits.gz  HD151804          437      3732.08      4999.72
HD151804/BLUE_437/HD151804_w437_n30_20150720_B.fits.gz  HD151804          437      3732.10      4999.78
HD151804/RED_564/HD151804_w564_n10_20170418_L.fits.gz   HD151804          564      4583.06      5644.24
HD151804/RED_564/HD151804_w564_n10_20170418_U.fits.gz   HD151804          564      5654.46      6686.48
HD151804/RED_564/HD151804_w564_n11_20160702_L.fits.gz   HD151804          564      4583.08      5644.24
HD151804/RED_564/HD151804_w564_n11_20160702_U.fits.gz   HD151804          564      5654.48      6686.46
HD151804/RED_564/HD151804_w564_n24_20150720_L.fits.gz   HD151804          564      4583.12      5644.30
HD151804/RED_564/HD151804_w564_n24_20150720_U.fits.gz   HD151804          564      5654.52      6686.54
HD151804/RED_564/HD151804_w564_n2_20160521_L.fits.gz    HD151804          564      4583.10      5644.26
HD151804/RED_564/HD151804_w564_n2_20160521_U.fits.gz    HD151804          564      5654.48      6686.48
HD151804/RED_564/HD151804_w564_n9_20160510_L.fits.gz    HD151804          564      4583.08      5644.26
HD151804/RED_564/HD151804_w564_n9_20160510_U.fits.gz    HD151804          564      5654.46      6686.50
HD151804/RED_860/HD151804_w860_n10_20170507_L.fits.gz   HD151804          860      6649.84      8544.24
HD151804/RED_860/HD151804_w860_n10_20170507_U.fits.gz   HD151804          860      8523.22     10426.12
HD151804/RED_860/HD151804_w860_n20_20150720_L.fits.gz   HD151804          860      6649.84      8544.28
HD151804/RED_860/HD151804_w860_n20_20150720_U.fits.gz   HD151804          860      8523.34     10426.34
HD151804/RED_860/HD151804_w860_n8_20160323_L.fits.gz    HD151804          860      6649.86      8544.28
HD151804/RED_860/HD151804_w860_n8_20160323_U.fits.gz    HD151804          860      8523.30     10426.42
