Wavelength          	  Flux
1.730530071362499075e+04 9.955939162303222290e-01
1.730524081963577555e+04 9.954993242454113211e-01
1.730518092606114442e+04 9.939063667214140807e-01
1.730512103290109371e+04 9.950005441587067567e-01
1.730506114015561616e+04 9.961661628252015399e-01
1.730500124782471539e+04 9.957462415001033795e-01
1.730494135590838050e+04 9.954193605579481074e-01
1.730488146440661149e+04 9.959794071436385288e-01
1.730482157331939743e+04 9.956011875559410695e-01
1.730476168264674197e+04 9.940174015160270216e-01
1.730470179238863420e+04 9.948405468671849272e-01
1.730464190254507412e+04 9.945348597510246247e-01
1.730458201311605444e+04 9.952588860720728015e-01
1.730452212410157517e+04 9.954120753419365419e-01
1.730446223550162540e+04 9.913051452440726496e-01
1.730440234731620512e+04 9.926181125455664223e-01
1.730434245954531070e+04 9.940104080985676660e-01
1.730428257218893486e+04 9.936917426032574330e-01
1.730422268524708124e+04 9.948807125877217050e-01
1.730416279871973165e+04 9.960944806740179569e-01
1.730410291260688973e+04 9.968657523547015398e-01
1.730404302690855548e+04 9.963267947467063790e-01
1.730398314162471797e+04 9.953500301980994225e-01
1.730392325675537722e+04 9.968569609942934395e-01
1.730386337230052595e+04 9.949925413131450735e-01
1.730380348826015688e+04 9.941252849843006389e-01
1.730374360463427729e+04 9.948346512728181157e-01
1.730368372142286898e+04 9.931000588940290807e-01
1.730362383862593197e+04 9.954502397901510147e-01
1.730356395624346987e+04 9.930918249170171963e-01
1.730350407427546452e+04 9.958875402807730870e-01
1.730344419272192317e+04 9.968467720279700073e-01
1.730338431158283493e+04 9.955920997196525679e-01
1.730332443085820705e+04 9.941434081114540744e-01
1.730326455054802136e+04 9.924588776213857377e-01
1.730320467065227058e+04 9.919180051405442899e-01
1.730314479117096926e+04 9.937926145703989134e-01
1.730308491210410284e+04 9.955562237655906088e-01
1.730302503345166042e+04 9.985368655847133290e-01
1.730296515521364199e+04 9.958572193714654297e-01
1.730290527739004392e+04 9.966933378385777198e-01
1.730284539998086984e+04 9.937388229924791760e-01
1.730278552298610884e+04 9.932985506912221929e-01
1.730272564640575001e+04 9.936529945581347167e-01
1.730266577023980062e+04 9.961711474471293126e-01
1.730260589448824976e+04 9.964810882257203462e-01
1.730254601915109015e+04 9.953381518287715002e-01
1.730248614422832907e+04 9.948465702009157141e-01
1.730242626971994832e+04 9.950521270559067322e-01
1.730236639562595155e+04 9.938324015436393877e-01
1.730230652194633876e+04 9.920886219146790586e-01
1.730224664868109539e+04 9.938745871322489656e-01
1.730218677583022145e+04 9.941418344813967023e-01
1.730212690339370965e+04 9.935195913340301166e-01
1.730206703137156364e+04 9.949083714214282947e-01
1.730200715976377614e+04 9.924464076246972688e-01
1.730194728857033624e+04 9.925819902849720711e-01
1.730188741779125485e+04 9.955931928198569203e-01
1.730182754742651014e+04 9.920171854348555085e-01
1.730176767747610211e+04 9.914452129214885723e-01
1.730170780794003440e+04 9.932647244608766579e-01
1.730164793881829246e+04 9.936442183557487873e-01
1.730158807011087993e+04 9.924918307438331810e-01
1.730152820181778952e+04 9.915901013870277447e-01
1.730146833393902125e+04 9.913702912708145520e-01
1.730140846647456056e+04 9.914824935079514789e-01
1.730134859942441835e+04 9.921155552724285620e-01
1.730128873278856918e+04 9.913343591427151713e-01
1.730122886656703122e+04 9.904530514880052205e-01
1.730116900075977901e+04 9.918066469486254144e-01
1.730110913536682710e+04 9.909117932129213324e-01
1.730104927038816822e+04 9.882333205056714753e-01
1.730098940582377691e+04 9.867918686085868085e-01
1.730092954167368225e+04 9.852565525854203310e-01
1.730086967793785516e+04 9.840895442159452999e-01
1.730080981461629563e+04 9.840789689077912294e-01
1.730074995170900729e+04 9.843900599212734859e-01
