Filename,Object,DateObs,setting,WaveMin,WaveMax
/HD23180/RED_564/HD23180_w564_redl_20140923_O10.fits,HD23180,2014-09-23T08:52:57.637,564,4918.5,5002.0
/HD23180/RED_564/HD23180_w564_redl_20160819_O23.fits,HD23180,2016-08-19T09:38:57.799,564,5500.2,5592.9
/HD23180/RED_564/HD23180_w564_redl_20140923_O17.fits,HD23180,2014-09-23T08:52:57.637,564,5215.5,5303.7
/HD23180/RED_564/HD23180_w564_redl_20141029_O16.fits,HD23180,2014-10-29T06:44:17.535,564,5170.9,5258.4
/HD23180/RED_564/HD23180_w564_redl_20141029_O10.fits,HD23180,2014-10-29T06:44:17.535,564,4918.5,5002.0
/HD23180/RED_564/HD23180_w564_redl_20141029_O14.fits,HD23180,2014-10-29T06:44:17.535,564,5084.0,5170.1
/HD23180/RED_564/HD23180_w564_redu_20141029_O14.fits,HD23180,2014-10-29T06:44:17.535,564,6437.0,6544.5
/HD23180/RED_564/HD23180_w564_redu_20160819_O6.fits,HD23180,2016-08-19T09:38:57.799,564,5931.7,6031.3
/HD23180/RED_564/HD23180_w564_redu_20141029_O9.fits,HD23180,2014-10-29T06:44:17.535,564,6111.7,6214.1
/HD23180/RED_564/HD23180_w564_redl_20140923_O22.fits,HD23180,2014-09-23T08:52:57.637,564,5450.6,5542.6
/HD23180/RED_564/HD23180_w564_redu_20141029_O2.fits,HD23180,2014-10-29T06:44:17.535,564,5707.9,5803.9
/HD23180/RED_564/HD23180_w564_redl_20141029_O22.fits,HD23180,2014-10-29T06:44:17.535,564,5450.6,5542.6
/HD23180/RED_564/HD23180_w564_redu_20140923_O2.fits,HD23180,2014-09-23T08:52:57.637,564,5707.9,5803.9
/HD23180/RED_564/HD23180_w564_redl_20160819_O13.fits,HD23180,2016-08-19T09:38:57.799,564,5041.7,5127.0
/HD23180/RED_564/HD23180_w564_redl_20140923_O21.fits,HD23180,2014-09-23T08:52:57.637,564,5401.9,5493.1
/HD23180/RED_564/HD23180_w564_redu_20141029_O10.fits,HD23180,2014-10-29T06:44:17.535,564,6174.1,6277.5
/HD23180/RED_564/HD23180_w564_redl_20141029_O1.fits,HD23180,2014-10-29T06:44:17.535,564,4582.9,4661.0
/HD23180/RED_564/HD23180_w564_redl_20140923_O11.fits,HD23180,2014-09-23T08:52:57.637,564,4958.9,5043.0
/HD23180/RED_564/HD23180_w564_redu_20141029_O5.fits,HD23180,2014-10-29T06:44:17.535,564,5874.3,5972.9
/HD23180/RED_564/HD23180_w564_redl_20140923_O18.fits,HD23180,2014-09-23T08:52:57.637,564,5260.9,5349.9
/HD23180/RED_564/HD23180_w564_redl_20141029_O18.fits,HD23180,2014-10-29T06:44:17.535,564,5260.9,5349.8
/HD23180/RED_564/HD23180_w564_redl_20141029_O7.fits,HD23180,2014-10-29T06:44:17.535,564,4801.3,4882.9
/HD23180/RED_564/HD23180_w564_redl_20160819_O17.fits,HD23180,2016-08-19T09:38:57.799,564,5215.6,5303.8
/HD23180/RED_564/HD23180_w564_redu_20141029_O1.fits,HD23180,2014-10-29T06:44:17.535,564,5654.5,5749.7
/HD23180/RED_564/HD23180_w564_redl_20140923_O19.fits,HD23180,2014-09-23T08:52:57.637,564,5307.1,5396.8
/HD23180/RED_564/HD23180_w564_redu_20160819_O12.fits,HD23180,2016-08-19T09:38:57.799,564,6302.6,6408.0
/HD23180/RED_564/HD23180_w564_redu_20140923_O7.fits,HD23180,2014-09-23T08:52:57.637,564,5990.6,6091.1
/HD23180/RED_564/HD23180_w564_redu_20141029_O3.fits,HD23180,2014-10-29T06:44:17.535,564,5762.3,5859.2
