Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 147932,3,1.2892726612145469,0.0629659383147421,4.8838341344666105,325240892615.6258,3818532405.2314177,1.1740628229501917,-8.457486150704797,0.0217427616346019,0.2570830297226084,"(1, 400000000000.0, -8.94762188121948)",22234363.106386833,55865.23393564531,
,,3.5035718987664874,0.374425609658105,10.686968056511988,75116736999.70894,6759874227.884121,8.999158506992009,-29.42200248323547,0.2493362555198687,0.8474482852142353,"(5, 80000000000.0, -29.3404731417609)",,,
,,5.999999995642619,0.6261060270282004,10.435100458048291,95527084020.4064,9639741634.467264,10.09110843622949,-18.27432749951976,0.3446348027651598,1.885895953075245,"(2, 50000000000.0, -18.3378914978563)",,,
HD 147933,4,1.8325691404395572,,,270444582024.3871,,,-8.428991027968147,,,"(1, 300000000000.0, -8.169798914852308)",1495986196.806128,4425994.665106888,
,,3.2781994701490738,,,48756345353.73488,,,-30.028889843008997,,,"(5, 100000000000.0, -29.875298073063792)",,,
,,5.9999999999090905,,,83548038622.79915,,,-19.0048917391979,,,"(5, 100000000000.0, -20.00489173915434)",,,
,,0.8688687213006616,,,12952620973.531857,,,-0.476704806552831,,,"(5, 50000000000.0, -0.0397516546748967)",,,
HD 148184,3,5.999999999909025,285.1214135165389,4752.023558681034,321774852988.50507,1116816360.9367476,0.34708006252329615,-25.39691242450285,0.0187445188723772,0.07380629014687846,"(5, 300000000000.0, -24.76178308329624)",102859707.65636398,184336.39364939783,
,,5.53954247663474,0.1536413825489928,2.7735392082836703,82005064040.23767,1643824679.7986846,2.0045404500776978,-10.277819569704263,0.0764917573619576,0.7442410994198704,"(3, 50000000000.0, -9.576232129716695)",,,
,,0.1000000000846477,88.96485802560613,88964.85795029943,1043375937.831868,31724165493.8538,3040.5306796490363,-2.841796979276083,18.958052258955608,667.1149416094097,"(1, 10000000000.0, -2.8001620340556075)",,,
HD 148937,4,5.999999983165941,,,168998907037.71173,,,-23.699595041852344,,,"(5, 100000000000.0, -24.50914957952233)",376944840.3912857,623049.3229608028,
,,5.999999999909016,,,427268085131.6112,,,-14.316891875575104,,,"(5, 400000000000.0, -15.316891565083774)",,,
,,4.939172801316578,,,557503096552.9846,,,-0.3007044249547196,,,"(5, 600000000000.0, -0.1424180031874334)",,,
,,4.933837052466915,,,145673328077.9539,,,9.476595009709175,,,"(3, 80000000000.0, 9.03284508074891)",,,
HD 149038,4,5.999999999909015,,,466980222329.2422,,,-6.519755563941629,,,"(5, 500000000000.0, -7.272142618779368)",1334048339.273382,1605352.9955155018,
,,5.999999999909024,,,46241731718.02882,,,-24.43965147679355,,,"(5, 60000000000.0, -25.43965147526181)",,,
,,5.999999931910638,,,489947556521.8152,,,1.3480722104646443,,,"(5, 400000000000.0, 1.1387411111131596)",,,
,,3.5556061158339243,,,25055085978.5654,,,13.932590428110288,,,"(3, 30000000000.0, 14.932590428077276)",,,
HD 149404,5,5.999999999909016,,,106424150883.8869,,,-21.67955117564218,,,"(3, 50000000000.0, -22.34004873183843)",202063405.4482141,454075.0684229531,
,,1.4908430558212935,,,270519658541.891,,,-6.496030206335869,,,"(3, 600000000000.0, -6.19387637398855)",,,
,,4.086798615558075,,,514565726551.5813,,,0.0242325726320253,,,"(2, 300000000000.0, 0.1761417303548128)",,,
,,2.8672848861521025,,,52951528022.18372,,,9.22117027949058,,,"(2, 50000000000.0, 10.22117027948376)",,,
,,5.586189648881228,,,658474353724.4434,,,-10.828910001564385,,,"(3, 300000000000.0, -11.82889238935062)",,,
HD 149757,3,3.1980958031302813,0.0279033909431968,0.8725001582468257,182043344156.8749,875599433.9197017,0.48098404145177565,-28.607175333361557,0.0150899132307435,0.05274870047426777,"(2, 150000000000.0, -28.587895167224023)",663857036.6107544,953817.5813372908,
,,3.273791306500518,0.0817911010092601,2.498360260376211,59974980129.37237,830608213.797325,1.384924533539845,-14.072743953196175,0.0431838736154635,0.30686178728957586,"(3, 50000000000.0, -13.551507449959209)",,,
,,0.9239986835862676,0.2456842654689693,26.589244101020558,23511325740.39479,893438040.399856,3.80003258967588,-21.55534052299946,0.0598516972735781,0.2776652830407229,"(2, 50000000000.0, -22.05743729273356)",,,
HD 150136,3,5.999999999909016,,,510022791952.3753,,,-14.669016300844532,,,"(5, 400000000000.0, -15.555558781811795)",138912708.7433093,165766.95554094188,
,,5.999999999638315,,,444287780336.8594,,,0.3548600222929607,,,"(5, 400000000000.0, 0.0)",,,
,,5.003773650787712,,,135209347138.30348,,,-23.70851133596123,,,"(5, 200000000000.0, -23.214062029992697)",,,
HD 151804,6,5.6087631358724845,,,729613024202.3638,,,-5.7722698977378055,,,"(5, 700000000000.0, -5.418074399824508)",1228822695.9637167,1480509.2722454418,
,,3.989253277823448,,,337805736687.6601,,,1.8206489678902869,,,"(2, 200000000000.0, 0.8206489679281579)",,,
,,5.999999999909016,,,131367833666.02225,,,16.820260237525442,,,"(5, 100000000000.0, 15.8202602403852)",,,
,,5.999999999909016,,,385019004578.65405,,,-15.924993966006015,,,"(5, 300000000000.0, -16.049662123050364)",,,
,,5.999999999909016,,,203942218823.27225,,,-25.9558060103552,,,"(5, 200000000000.0, -26.178651322462283)",,,
,,5.029436801805477,,,86075163672.05478,,,9.820389816263184,,,"(5, 90000000000.0, 10.820389816232852)",,,
HD 152248,6,5.769467654692277,,,73339651422.6917,,,-39.53347427534125,,,"(4, 30000000000.0, -40.53347427524595)",200663789.8716798,238035.33792607332,
,,3.270497138424953,,,296790644743.5586,,,-27.863976874798,,,"(2, 300000000000.0, -27.58704095847888)",,,
,,5.282964425022488,,,383337721088.6428,,,-12.403999312466343,,,"(5, 600000000000.0, -11.4039993124999)",,,
,,5.999999999909016,,,651785946045.9261,,,-3.9307826541401742,,,"(1, 250000000000.0, -4.930782654116363)",,,
,,5.999999999909016,,,171431878473.31216,,,13.042616870889145,,,"(3, 90000000000.0, 12.639376847187352)",,,
,,5.999696239275803,,,397477031022.86414,,,-20.203145302759577,,,"(3, 300000000000.0, -20.65145168161348)",,,
HD 152408,5,5.999999999918843,,,819237405970.9033,,,-5.665572182783008,,,"(5, 800000000000.0, -6.177927219188705)",3854385549.0580645,4481843.661695424,
,,5.999999999909016,,,110932062157.23132,,,17.723721000437294,,,"(5, 100000000000.0, 18.723720995412563)",,,
,,5.999999999909016,,,604770660542.9001,,,-15.68240306370473,,,"(5, 500000000000.0, -15.66593488938638)",,,
