Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 49787,102.48136,-5.51339,2018-02-12T04:07:36.677,564,12,4999.9736328125,5084.66015625,orders/HD49787_2018-02-12T04:06:12_564nm_redl_O12.fits
HD 53975,106.650039,-12.39414,2015-01-30T01:13:16.977,564,20,5354.12646484375,5444.5048828125,orders/HD53975_2015-01-30T00:57:32_564nm_redl_O20.fits
HD 152248,253.541835,-41.82587,2017-05-07T03:28:47.093,564,13,6368.92529296875,6475.41455078125,orders/HD152248_2017-05-07T03:27:22_564nm_redu_O13.fits
HD 147683,246.182334,-34.89337,2018-06-03T01:23:19.268,346,4,3084.85888671875,3133.44091796875,orders/HD147683_2018-06-03T01:11:45_346nm_blue_O4.fits
HD 148937,248.468513,-48.11204,2017-05-17T09:45:11.616,860,6,7036.5029296875,7153.45166015625,orders/HD148937_2017-05-17T09:43:58_860nm_redl_O6.fits
HD 124314,213.756145,-61.70736,2017-05-02T03:50:06.826,437,14,4169.43017578125,4234.046875,orders/HD124314_2017-05-02T03:32:00_437nm_blue_O14.fits
HD 91824,158.694315,-58.15609,2015-02-21T05:21:40.926,564,1,5654.5595703125,5749.70654296875,orders/HD91824_2015-02-21T04:33:42_564nm_redu_O1.fits
HD 169454,276.313251,-13.97855,2016-08-08T03:36:42.307,437,13,4132.14892578125,4196.2412109375,orders/HD169454_2016-08-08T03:24:25_437nm_blue_O13.fits
HD 103779,179.239663,-63.24939,2017-04-27T01:59:49.089,564,4,5817.61767578125,5915.38330078125,orders/HD103779_2017-04-27T01:59:16_564nm_redu_O4.fits
HD 149404,249.094452,-42.85959,2017-05-07T01:59:22.484,564,11,4958.95751953125,5042.99462890625,orders/HD149404_2017-05-07T01:52:09_564nm_redl_O11.fits
HD 170740,277.857121,-10.79633,2014-09-16T02:10:02.960,346,29,3732.21142578125,3790.328369140625,orders/HD170740_2014-09-16T01:56:59_346nm_blue_O29.fits
HD 75860,132.721849,-43.75168,2017-04-30T01:15:20.642,437,11,4059.6640625,4122.6435546875,orders/HD75860_2017-04-30T00:58:00_437nm_blue_O11.fits
HD 151804,252.889974,-41.23085,2015-07-20T01:59:56.183,564,9,4878.99462890625,4961.740234375,orders/HD151804_2015-07-20T01:33:33_564nm_redl_O9.fits
HD 135591,229.705393,-60.49642,2016-02-22T05:32:31.670,346,29,3702.34521484375,3759.97216796875,orders/HD135591_2016-02-22T05:31:02_346nm_blue_O29.fits
HD 81188,140.52828,-55.01088,2017-04-18T01:15:29.900,437,23,4537.45361328125,4607.57861328125,orders/HD81188_2017-04-18T01:09:42_437nm_blue_O23.fits
HD 24398,58.532836,31.88373,2014-09-25T08:17:18.565,437,2,3762.450927734375,3821.086181640625,orders/HD24398_2014-09-25T08:09:19_437nm_blue_O2.fits
HD 157978,261.579437,7.596,2016-06-16T04:30:44.475,437,27,4722.6962890625,4795.62939453125,orders/HD157978_2016-06-16T04:04:28_437nm_blue_O27.fits
HD 147888,246.350888,-23.46079,2014-09-24T01:10:28.803,346,4,3105.58203125,3154.497314453125,orders/HD147888_2014-09-24T00:41:39_346nm_blue_O4.fits
HD 185418,294.615167,17.25723,2014-09-24T01:52:25.623,437,22,4493.392578125,4562.904296875,orders/HD185418_2014-09-24T01:29:01_437nm_blue_O22.fits
HD 170740,277.857209,-10.79624,2015-04-24T09:14:47.823,564,7,4801.41845703125,4882.9462890625,orders/HD170740_2015-04-24T09:04:55_564nm_redl_O7.fits
HD 104705,180.84965,-62.69638,2016-03-29T08:17:49.514,437,11,4059.6552734375,4122.64013671875,orders/HD104705_2016-03-29T08:04:39_437nm_blue_O11.fits
HD 186745,296.351618,23.94288,2016-09-08T23:51:13.658,437,1,3737.958984375,3790.228515625,orders/HD186745_2016-09-08T23:50:37_437nm_blue_O1.fits
