Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,4,6896.61279296875,6990.87060546875,orders/HD183143_2018-09-07T03_05_52_860nm_redl_O4.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,5,6975.66064453125,7071.216796875,orders/HD183143_2018-09-07T03_05_52_860nm_redl_O5.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,6,7056.54638671875,7153.43115234375,orders/HD183143_2018-09-07T03_05_52_860nm_redl_O6.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,7,7139.3349609375,7237.580078125,orders/HD183143_2018-09-07T03_05_52_860nm_redl_O7.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,8,7224.0947265625,7323.732421875,orders/HD183143_2018-09-07T03_05_52_860nm_redl_O8.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,9,7310.89697265625,7411.96044921875,orders/HD183143_2018-09-07T03_05_52_860nm_redl_O9.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,1,8649.443359375,8664.470703125,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O1.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,3,3074.453125,3102.684326171875,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O3.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,10,9780.6142578125,9921.7666015625,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O10.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,12,10106.041015625,10252.357421875,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O12.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,13,10277.0087890625,10426.056640625,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O13.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,2,8665.033203125,8788.2080078125,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O2.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,3,8790.3212890625,8915.5341796875,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O3.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,4,8919.29296875,9046.60546875,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O4.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,5,9052.158203125,9181.5888671875,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O5.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,6,9189.0068359375,9320.6591796875,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O6.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,7,9330.0673828125,9464.005859375,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O7.fits
